recipe_id,veg_1,veg_2,veg_3,veg_4,veg_5,category
7403663,radish,,,,,chinese
160856,carrot,tomato,onion,,,western
2656612,ginger,,,,,japanese
6929661,radish,garlic,ginger,green onion,,chinese
5248201,tomato,onion,,,,western
7486035,tomato,green onion,,,,chinese
6407785,carrot,,,,,western
397089,onion ,tomato,eggplant,bell pepper,,japanese
7411656,radish,green onion,green onion,,,chinese
5595885,eggplant,,,,,japanese
5033066,asparagus,garlic,,,,western
7673248,garlic,green onion,,,,chinese
692291,corn,carrot,onion,,,western
456954,carrot,garlic,onion,corn,,japanese
6037490,corn,,,,,western
7193347,lettuce,green onion,ginger,,,chinese
7568614,green onion,,,,,chinese
4935848,carrot,potato,onion,asparagus,,western
3383030,bell pepper,lettuce,,,,japanese
7532091,cabbage,garlic,,,,chinese
7586300,onion,carrots Peppers,tomatoes,,,chinese
2843487,asparagus,bean sprouts,carrot,onion,garlic,western
7595926,eggplant,,,,,chinese
2330969,onion,tomato,,,,western
7048099,onion ,,,,,japanese
2899118,broccoli,,,,,western
3013963,broccoli,,,,,japanese
820833,onion ,tomato,garlic,,,japanese
2053739,sweet potato,,,,,western
6558883,bell pepper,broccoli,,,,chinese
3366602,eggplant,garlic,onion,,,western
7448803,radish,garlic,,,,chinese
179937,onion,,,,,western
3320835,asparagus,onion,garlic,ginger,,chinese
7363636,potato,asparagus,,,,western
7394456,radish,garlic,ginger,,,chinese
2482850,radish,,,,,japanese
6537402,tomato,cabbage,onion,carrot,garlic,western
842075,radish,green onion,onion,carrot,,japanese
1953220,broccoli,,,,,japanese
1344211,broccoli,carrot,onion,tomato,eggplant,western
7474115,asparagus,onion,garlic,ginger,,chinese
6386924,onion,tomato,,,,western
3584025,pumpkin,,,,,japanese
7259138,pumpkin,green onion,,,,western
6298158,potato,,,,,chinese
7627343,cabbage,onion,garlic,ginger,,chinese
2183151,carrot,garlic,,,,western
6177998,bell pepper,onion,,,,chinese
7454076,carrot,cucumber,,,,chinese
417846,cucumber,corn,,,,japanese
1669762,onion,,,,,western
2249767,eggplant,green onion,,,,japanese
6074796,corn,potato,,,,western
7660159,cabbage,onion,green onion,eggplant,,chinese
1806749,onion ,ginger,,,,japanese
5184069,tomato,,,,,western
7680125,tomato,,,,,chinese
2210683,onion ,,,,,japanese
1164194,cabbage,,,,,japanese
6005691,radish,ginger,,,,japanese
4765708,radish,carrot,,,,chinese
6036827,tomato,cucumber,onion,,,japanese
3043062,radish,green onion,carrot,,,japanese
5164562,radish,cabbage,cucumber,carrot,,chinese
7191431,cabbage,garlic,,,,chinese
2771528,asparagus,bell pepper,,,,western
1811627,broccoli,,,,,japanese
2594151,tomato,carrot,,,,western
5248700,onion ,eggplant,,,,japanese
511945,eggplant,garlic,broccoli,,,western
6626620,potato,onion,,,,chinese
635749,broccoli,,,,,western
7176378,eggplant,,,,,japanese
5975080,radish,potato,garlic,,,western
7026282,potato,bell pepper,,,,chinese
4724462,sweet potato,,,,,japanese
5356945,chinese cabbage,,,,,western
7116398,carrot,,,,,japanese
4377534,radish,carrot,,chinese cabbage,,japanese
1822073,onion,garlic,cabbage,,,western
134882,cucumber,,,,,japanese
5673394,tomato,garlic,onion,,,western
